,still,still_music,hand_up,hand_down,walking,running,after_sprint,tapping_fingers,tapping_foot,flexing
196,1.18,1.27,1.19,-0.17,1.34,1.35,1.24,0.94,1.18,0.57
197,1.3,1.39,1.3,-0.36,1.47,1.48,1.36,1.02,1.29,0.62
198,1.42,1.53,1.42,-0.45,1.61,1.62,1.49,1.11,1.41,0.68
199,1.56,1.68,1.56,-0.36,1.77,1.79,1.63,1.21,1.55,0.74
200,1.71,1.85,1.72,-0.12,1.94,1.97,1.8,1.32,1.7,0.8
201,1.88,2.04,1.89,0.19,2.14,2.17,1.98,1.45,1.87,0.87
202,2.07,2.25,2.08,0.39,2.36,2.4,2.18,1.6,2.06,0.95
203,2.29,2.48,2.3,0.36,2.61,2.65,2.41,1.76,2.27,1.04
204,2.52,2.74,2.53,0.04,2.88,2.92,2.66,1.94,2.5,1.14
205,2.78,3.02,2.8,-0.49,3.17,3.23,2.93,2.14,2.76,1.25
206,3.07,3.33,3.08,-1.01,3.5,3.56,3.23,2.37,3.05,1.38
207,3.39,3.68,3.41,-1.28,3.86,3.93,3.57,2.62,3.37,1.53
208,3.74,4.05,3.76,-1.15,4.25,4.33,3.93,2.89,3.71,1.69
209,4.12,4.46,4.14,-0.62,4.68,4.76,4.33,3.19,4.09,1.88
210,4.53,4.91,4.55,0.07,5.14,5.23,4.77,3.52,4.5,2.09
211,4.98,5.39,5.01,0.59,5.64,5.74,5.24,3.89,4.95,2.33
212,5.47,5.91,5.5,0.6,6.18,6.29,5.75,4.28,5.44,2.58
213,6.0,6.47,6.03,0.01,6.76,6.88,6.29,4.71,5.96,2.86
214,6.56,7.07,6.59,-1.02,7.38,7.51,6.88,5.17,6.52,3.17
215,7.17,7.71,7.2,-2.09,8.04,8.18,7.51,5.67,7.12,3.51
216,7.82,8.39,7.85,-2.72,8.75,8.9,8.18,6.2,7.77,3.87
217,8.51,9.12,8.55,-2.58,9.5,9.66,8.89,6.78,8.46,4.26
218,9.25,9.9,9.29,-1.7,10.3,10.47,9.65,7.39,9.19,4.68
219,10.03,10.72,10.07,-0.47,11.15,11.33,10.46,8.05,9.97,5.13
220,10.85,11.58,10.9,0.52,12.03,12.23,11.31,8.75,10.79,5.62
221,11.73,12.5,11.78,0.72,12.97,13.18,12.21,9.49,11.66,6.14
222,12.64,13.45,12.7,-0.07,13.95,14.17,13.15,10.27,12.57,6.7
223,13.61,14.47,13.67,-1.59,15.0,15.23,14.15,11.09,13.53,7.3
224,14.63,15.54,14.7,-3.2,16.11,16.35,15.2,11.96,14.55,7.95
225,15.72,16.69,15.79,-4.2,17.28,17.54,16.32,12.86,15.63,8.66
226,16.87,17.89,16.94,-4.14,18.51,18.78,17.51,13.82,16.78,9.41
227,18.08,19.15,18.16,-3.0,19.79,20.07,18.75,14.84,17.99,10.22
228,19.33,20.43,19.42,-1.26,21.06,21.37,20.02,15.92,19.24,11.07
229,20.61,21.7,20.71,0.4,22.3,22.62,21.3,17.05,20.52,12.0
230,21.86,22.9,21.97,1.3,23.41,23.75,22.52,18.23,21.78,12.98
231,23.0,23.93,23.13,0.91,24.3,24.66,23.59,19.44,22.94,14.01
232,23.97,24.68,24.1,-1.15,24.84,25.24,24.43,20.63,23.93,15.11
233,24.62,25.03,24.77,-4.99,24.92,25.35,24.89,21.74,24.62,16.29
234,24.86,24.86,25.01,-10.22,24.43,24.9,24.88,22.68,24.9,17.55
235,24.55,24.05,24.69,-15.62,23.26,23.75,24.26,23.34,24.63,18.88
